@relation areasdeconocimiento

@attribute sexo {F,M}
@attribute edad numeric
@attribute ingenieria numeric
@attribute realistic numeric
@attribute investigativo numeric
@attribute artistic numeric
@attribute social numeric
@attribute emprendedor numeric
@attribute convencional numeric
@data
M,18,1,6,24,5,5,8,3
M,17,0,22,9,13,16,12,5
M,17,0,7,16,16,5,12,18
F,18,0,5,17,20,15,8,12
M,18,0,15,28,30,28,11,5
F,15,0,5,14,10,15,6,7
M,17,0,13,28,12,13,21,13
F,19,0,3,27,11,27,1,0
F,19,0,5,26,5,14,2,2
F,15,0,5,22,15,27,4,4
F,17,0,6,3,22,1,17,15
M,20,0,4,0,1,8,6,1
M,17,0,7,19,23,3,3,1
M,18,1,8,22,11,20,6,8
M,19,1,1,3,4,0,3,1
F,18,0,0,16,3,0,1,1
F,18,0,0,2,2,3,1,0
F,17,0,0,4,0,1,0,0
M,16,1,1,2,3,1,1,2
F,17,0,0,3,9,1,1,0
M,19,1,6,21,15,12,14,2
M,17,1,5,10,2,11,2,2
M,16,1,4,15,9,0,2,3
F,17,1,19,27,14,17,17,18
F,17,0,0,3,9,1,1,0
M,17,1,18,5,2,0,12,16
F,16,0,3,10,22,17,7,5
F,18,0,0,7,0,3,3,1
M,17,1,3,2,3,1,1,2
F,18,0,0,6,0,1,0,0
M,18,0,0,5,10,3,5,0
M,19,0,3,9,11,8,19,8
M,19,0,9,20,19,10,12,0
F,20,0,2,3,6,6,3,1
F,17,0,3,23,5,10,0,0
F,15,0,2,10,11,1,6,8
M,18,0,4,24,14,23,8,10
F,15,0,9,20,19,10,12,0
F,17,0,2,7,2,13,4,3
F,16,0,5,16,5,18,6,1
F,17,0,13,13,13,13,13,4
F,16,0,4,15,1,9,0,3
F,18,0,0,11,1,14,1,0
M,16,0,22,29,14,9,19,7
M,17,0,8,7,7,7,8,5
M,17,1,18,28,17,1,13,11
M,16,0,0,9,9,5,8,1
M,16,0,0,3,21,7,1,0
M,16,0,12,18,17,15,17,17
F,16,0,4,10,8,6,1,6
M,19,1,9,20,19,10,12,0
F,16,0,5,14,5,7,14,4
F,17,0,2,11,12,3,8,8
M,17,1,19.5,20,23.5,24,19.5,13.5
F,19,0,6.5,8.5,9,9.5,15.5,17
M,18,1,7.5,12.5,15,12,10.5,10.5
F,17,0,19.5,22.5,25,21.5,23,21.5
M,16,0,19.5,20,21.5,22,18.5,14
F,16,0,12,9,12,12,11.5,15
M,16,0,14,17,15,14.5,17.5,15
F,16,0,9.5,12,12.5,12.5,9,9.5
F,17,0,9,15,21,21.5,20,21
M,19,1,15,19.5,24.5,24.5,22.5,22.5
F,17,0,5.5,10.5,19.5,15,16.5,17
M,19,1,18,23,24.5,24,25,20.5
M,16,1,24.5,26.5,27.5,26,21,23
F,16,0,17.5,20.5,25,24,20,22.5
F,17,0,26,26.5,27,24.5,19,23
M,17,1,18,18,13.5,14,17.5,20
M,17,0,18,21,26,23,20.5,15.5
M,16,1,12,22,19,6,15,1
F,15,0,0,2,0,2,0,0
F,18,0,1,7,12,7,1,0
F,18,0,4,20,3,21,3,10
F,18,1,0,0,0,0,4,0
M,17,0,8,6,14,5,19,4
M,18,0,23,23,20,20,23,14
F,16,0,0,6,14,1,6,1
M,18,0,0,6,6,11,1,0
M,18,0,19,22,19,6,15,1
M,17,0,8,14,10,18,14,6
F,17,0,1,1,7,19,5,1
F,17,0,2,20,15,8,10,2
F,18,0,9,29,4,26,18,10
M,15,0,1,26,3,19,1,2
M,17,0,4,27,11,15,3,1
M,18,0,0,5,8,2,0,3
M,16,1,6,12,13,0,6,7
F,15,0,3,17,6,15,4,5
F,17,0,24,24,24,24,24,24
M,17,1,5.5,4,2,5,10,10.5
M,15,0,2,1,5,1,5,0
F,17,1,7.5,13,19.5,14.5,15,18
M,16,0,19,27,21,10,11,8
M,16,1,2.5,3,2,7.5,12,8.5
M,14,0,2,19,8,6,8,0
F,15,0,5,13,1,9,5,3
F,16,0,4.5,5.5,9,16,24.5,23
M,16,1,8,8,9,3,10,4
F,16,0,2,2,5.5,8.5,13.5,20
M,15,1,5,13,11,7,10,8
F,16,1,3,17,6,15,4,5
F,15,0,22.5,23.5,23.5,24,25,24
F,17,0,0,1,3,6,2,1
F,15,0,4,9,22,25,6,1
F,17,0,4,22,8,10,7,5
M,14,0,0.5,3.5,10,16.5,21.5,14
M,18,0,13.5,15.5,18.5,15.5,12.5,12
M,15,1,2,3,2,3,6,7
F,17,0,1.5,2.5,2,4.5,4,5
M,14,1,4,3.5,3.5,3.5,2,0.5
F,14,0,14,14,14.5,14.5,14.5,14
M,16,1,13,15,24,3,17,11
M,15,0,10.5,18.5,27,23.5,22,24.5
M,18,0,11.5,21,28,21.5,19,14
M,15,1,23,27.5,28.5,22.5,18,13.5
M,15,0,9,10.5,15.5,19,21.5,22
M,17,0,1.5,7,13,6.5,2.5,2.5
M,15,0,6,7.5,8.5,10.5,9,7
M,16,0,24,26,28.5,26,24,24
M,15,0,11.5,14,19.5,20,21.5,23
F,15,1,4.5,6,11,15.5,17.5,22
F,19,0,0.5,0,1,0.5,0.5,0
M,14,1,11.5,13,9.5,10.5,12,14
M,16,1,9.5,12,12.5,10.5,13.5,9.5
F,15,0,3,15,12,8,3,4
F,16,0,10,20,22,21,16,12
M,18,0,7,22,16,12,15,7
M,17,0,13,29,27,22,8,10
F,17,0,13,24,18,23,12,2
M,15,1,13,24,18,23,12,2
F,17,0,3,18,16,22,12,0
F,17,1,2,13,8,12,9,1
M,16,0,10,23,15,8,16,5
F,14,0,4,16,18,18,9,3
M,14,0,10,26,19,16,12,16
M,16,0,14,17,27,22,16,9
F,16,0,4,22,23,28,4,3
F,15,0,12,20,16,23,17,10
F,17,0,19.5,20,21.5,21,20,20
F,14,0,4.5,9.5,15.5,16.5,15,14.5
M,13,0,2,15,6,6,3,1
F,14,0,7,19,15,7,8,10
F,15,0,8,25,27,26,13,16
M,15,0,12,23,7,12,12,18
F,14,0,11.5,10.5,11.5,16,23.5,22
F,14,0,18,23,29,29,29,25.5
F,15,0,4,7,9,12.5,14,17
M,15,0,4,15,13,9,11,5
F,13,0,5,23,2,20,15,5
M,14,0,2,15,6,6,3,1
F,13,0,6,8,14.5,16,20.5,21
M,14,0,0,6,15,5,11,1
M,14,0,1.5,6,6.5,10,12,7
M,15,1,18,19,18,20,12,17
M,15,0,2,29,8,11,13,13
M,19,0,1,13,18,5,4,8
M,19,1,24,12,12,8,6,10
M,17,1,8,3,6,2,7,2
M,17,1,24,10,13,17,14,12
F,19,0,7,29,12,10,4,4
F,17,0,3,10,29,27,30,20
F,19,0,11,30,18,25,21,9
F,18,1,7,11,10,9,14,22
F,17,0,15,28,24,27,18,23
F,17,0,18,4,30,24,18,13
F,15,0,30,5,30,30,30,30
F,16,0,10,30,12,18,22,17
F,17,0,13,22,27,25,26,19
M,15,0,9,25,22,21,12,17
M,15,1,32,3,28,11,3,10
M,14,0,1,7,7,6,1,0
F,15,0,2,3,30,14,12,7
M,15,0,8,26,25,22,22,9
M,14,1,11,24,16,17,15,16
M,17,0,23,3,30,30,30,26
M,16,0,20,28,24,17,20,17
F,15,0,3,13,11,9,21,5
F,16,0,24,4,29,30,30,28
M,19,0,30,30,27,26,30,23
M,16,0,32,4,30,30,3,30
F,18,0,9,10,4,27,19,5
F,18,0,21,25,27,28,27,24
F,15,1,2,15,15,2,10,0
M,16,0,3.5,23,4,13,3,30
F,16,0,5,18,13,20,15,2
F,17,0,7,14,9,8,9,3
F,16,0,22,28,26,25,26,21
F,17,0,17,3,24,24,27,16
F,18,0,15,29,22,24,27,24
M,17,1,14,16,23,15,18,10
M,17,0,12,12,15,16,18,20
M,17,1,10,10,5,10,10,5
F,18,0,23,27,27,27,30,25
M,17,1,3.1,4,30,29,3,4
M,16,0,8,7,10,8,5,6
F,18,0,24,28,30,30,26,24
M,16,0,24,4,30,23,30,29
M,17,0,18,27,19,22,20,18
M,17,0,13,18,20,12,17,20
M,17,0,22,20,16,21,23,18
M,17,0,18,27,19,22,20,18
M,17,1,3.1,4,30,29,3,4
F,17,0,14,26,30,27,23,10
F,17,0,14,17,20,20,17,16
F,18,0,26,4,30,30,30,30
M,19,0,10,24,29,18,15,13
F,18,0,26,4,30,30,30,30
M,19,1,17,23,30,20,24,19
F,18,0,22,4,24,29,24,23
M,15,0,25,17,20,22,26,17
M,22,0,14,17,12,21,5,3
M,16,0,20,9,19,17,25,9
F,18,0,24,8,30,30,30,24
F,18,0,10,4,27,18,30,11
F,19,0,19,4,13,22,29,14
F,23,0,12,10,29,30,24,9
F,22,0,16,26,13,30,28,26
F,20,0,28,4,30,29,30,25
M,19,1,5,4,5,4.5,4,4
F,18,0,7,22,10,11,18,8
F,18,0,5,23,25,30,27,20
F,17,0,13,26,30,4,14,4
F,16,0,11,24,22,29,16,14
F,16,0,1,6,12,10,1,0
M,20,0,11,19,10,15,8,13
F,17,0,20,21,30,30,30,26
M,19,1,19,26,18,18,22,14
F,17,0,5,12,23,12,16,2
M,16,0,16,17,16,17,16,14
F,16,0,5,24,21,30,30,27
M,16,0,3,10,15,14,11,4
F,18,0,2,2,11,14,13,10
F,19,0,3,21,16,22,14,4
F,16,0,8,29,26,28,22,11
F,17,0,14,21,11,16,22,7
M,16,1,16,27,18,7,18,2
F,16,0,13,19,19,21,16,20
M,17,0,20,27,27,9,25,20
F,16,0,19,11,17,20,16,19
F,17,0,11,26,30,4,14,4
F,18,0,19,11,17,8,18,2
F,19,0,3,21,16,22,14,4
M,16,0,3,10,15,14,11,4
F,15,0,3.5,3,3,3.3,3,3
M,17,0,14,29,24,10,17,3
F,15,0,3.5,3,3,3,3,3
M,19,1,2,16,10,0,10,4
M,18,0,7,17,14,22,19,2
M,19,0,11,24,24,24,23,21
F,18,0,27,3,30,30,30,26
M,19,0,26,25,26,28,29,29
F,17,0,15,15,15,10,20,15
F,17,0,0,2,0,1,0,0
M,17,0,15,15,15,10,20,15
M,16,1,21,26,30,7,15,19
M,19,0,26,25,26,28,29,29
F,17,0,26,4,30,30,30,28
M,17,0,11,10,11,26,6,5
F,17,0,11,21,30,22,15,1
F,18,0,5,29,16,4,5,0
F,17,0,12,23,12,12,13,10
M,17,0,9,25,13,23,8,8
F,18,0,1,17,20,15,14,9
F,18,0,0,12,10,3,3,0
F,17,0,27,3,24,30,30,30
M,17,0,17,26,25,12,21,30
M,17,0,3.5,4.8,3,3,25,19
F,16,0,17,26,25,12,21,30
M,17,0,22,23,24,30,23,20
M,18,1,29,29,29,30,27,30
M,17,0,5,23,16,16,11,5
M,16,1,4,18,8,2,9,13
F,16,0,7,30,30,28,19,9
M,17,1,23,28,24,28,23,22
M,16,1,4,7,11,4,7,7
M,15,0,8.0,3.0,3.0,5.0,3.0,5.0
M,16,0,17,4,27,27,28,30
F,16,0,4,4,4,5,4,4
M,16,0,18,26,21,17,17,10
M,18,0,17,18,9,16,7,9
F,17,0,15,23,18,27,26,14
F,16,0,13,4,30,28,30,30
F,17,0,2,15,15,2,10,12
F,17,0,11,22,30,30,18,10
F,17,0,2,16,7,15,6,5
F,17,0,7,14,9,8,9,3
M,18,0,14,27,22,14,25,4
M,16,1,16,6,21,15,17,9
F,20,0,3.5,4,4.5,6,7,30
M,18,0,1,7,7,6,1,0
M,14,1,3.5,28,27,28,30,30
M,19,0,1,7,7,6,1,0
F,15,0,3,21,12,7,6,10
F,15,0,21,28,28,26,25,20
M,17,0,3.5,3.5,3,3.5,3,3.5
F,18,0,3,14,18,14,17,3
F,18,0,2,25,10,17,22,0
M,18,0,25,4,18,12,16,3
F,19,0,15,25,17,30,16,11
F,18,0,0,16,15,30,23,7
M,19,0,8,7,8,10,7,8
M,20,1,22,23,12,18,30,13
